"","Variable","Mean_Typ_1","Mean_Typ_2","Mean_Typ_4","Mean_Typ_3","Mean_Typ_adult","SD_Typ_1","SD_Typ_2","SD_Typ_4","SD_Typ_3","SD_Typ_adult","Mean_Dys_1","Mean_Dys_2","Mean_Dys_4","Mean_Dys_3","Mean_Dys_adult","SD_Dys_1","SD_Dys_2","SD_Dys_4","SD_Dys_3","SD_Dys_adult","p_value_1","p_value_2","p_value_4","p_value_3","p_value_adult"
"1","Age",7.18260869565217,8.22522522522523,9.9432,9.00316666666667,26.84375,0.322162158933771,0.32110026176473,0.460826214532117,0.437891608284585,6.65805054777855,7.31127450980392,8.32598039215686,9.80297142857143,8.69346153846154,26.5555555555556,0.365441492787048,0.345343999105761,0.446319424371636,0.414828803119354,6.42910050732864,0.0701412683040012,0.136454065923399,0.278986983140182,0.0833260170860017,0.866591192044516
"2","RC",10.7391304347826,10.1351351351351,10.65,9.58333333333333,10.6774193548387,1.83574143213159,2.06919609548551,3.13343598189457,2.84312035153866,1.75854289634332,8.05882352941176,7.76470588235294,6.05714285714286,6.23076923076923,7.14285714285714,1.5163987736218,1.77625454648362,2.15492400770691,2.16617351389673,2.46026625650763,2.64020687217954e-12,1.26634956138498e-08,2.49479809987886e-06,0.00351547192700531,8.80160739776668e-08
"3","WR",111.304347826087,109.418918918919,108.325,107.708333333333,105.9375,11.9745152727911,9.09608820531225,7.13271742709164,10.9221591549501,5.67358053869267,92.1176470588235,85.0294117647059,83.0142857142857,83.5,83.6785714285714,10.0144280941787,7.76642070406855,12.5847046018556,6.03462233007722,8.9113060581138,1.40280827672274e-13,5.07622513597379e-23,4.56783117539759e-13,3.35910834484766e-06,9.31099731403642e-15
"4","RAN_Letters",106.973913043478,104.027027027027,103.95,100.833333333333,110.125,12.0644910825153,11.1040201233275,14.5583219102376,16.2471442712157,5.64400909900732,99.3235294117647,96.3235294117647,84.9714285714286,88.7692307692308,100.464285714286,14.2928687203334,12.3207649020601,8.40687993563015,10.6938755537445,7.5054653807749,0.00667087758185638,0.0019831570086643,1.30010943919018e-05,0.042690272590968,1.02351189637281e-06
"5","LC",11.2782608695652,12.0990990990991,10.2,9.41666666666667,108.46875,1.85693496795385,1.59519138182086,2.01572763406588,3.26018218490744,6.22162915600397,9.91176470588235,10.4411764705882,8.54285714285714,7.23076923076923,102.222222222222,2.49080304756255,1.70899893559178,2.21416372664791,2.31494586523624,10.3341604300916,0.00486047065120541,6.32906198997983e-06,0.00708363307621446,0.0696281670028393,0.00885149342754831
"6","Digits",10.904347826087,10.3693693693694,12.95,10.75,10.8125,2.18838205492246,2.48606270647138,3.05174669570344,2.41679727964699,2.62048382629448,9.32352941176471,8.17647058823529,9.74285714285714,8.15384615384615,8.57142857142857,2.22548038035638,2.19462964688521,3.44146734387987,2.67226975453932,2.61659336668135,0.00059309039521082,6.44868336817889e-06,0.00086477389409258,0.0178778061617629,0.00163439509343328
"7","PDE",107.034782608696,103.072072072072,104.8,102.333333333333,105.34375,11.1102374434041,10.1244184674405,12.988253802652,12.2276388364701,8.09862343938173,86.1176470588235,78.5,72.8285714285714,78.5384615384615,83.6428571428571,9.81577180429955,6.65263675226415,9.20193622299681,8.75228907786781,8.06094510456658,2.29072791191609e-15,5.25553098311727e-28,8.91375016296343e-11,2.01794177822911e-05,9.36107711731063e-15
"8","SWE",112.2,106.90990990991,105.65,106.416666666667,109.65625,10.6311359991103,8.20260440852289,12.1623880965264,11.0491326959781,11.817453944989,91.2941176470588,88.0294117647059,74.4285714285714,80.4615384615385,88.6428571428571,12.0139550467166,11.8947029058843,11.0381310073062,12.5606222285853,9.46813089503428,3.42159663459524e-12,5.81716557574856e-11,2.25066582223941e-11,1.38696619550386e-05,2.57282075490429e-10
"9","WID",114.147826086957,110.522522522523,110.85,109.25,109.84375,11.7318306540712,10.1791648584448,8.94000470975974,12.0538564179873,7.44922327624531,92.6764705882353,86.9411764705882,83.3714285714286,82.1538461538462,89.5357142857143,10.0233684177777,9.19137005143737,14.37335302951,7.17456332987304,9.37483685925073,1.82662699678359e-15,1.00363811504563e-18,8.25442492377754e-12,2.74589361140728e-06,1.90093853197508e-12
"10","WA",111.304347826087,108.315315315315,105.8,106.166666666667,102.34375,11.9745152727911,9.93614337290607,6.6932802122726,10.5039675043925,8.13835750647671,92.1176470588235,83.1176470588235,82.6571428571429,84.8461538461538,78.3214285714286,10.0144280941787,8.40189266513839,12.6373462803076,8.66839233312762,10.2814236347732,1.40280827672274e-13,4.61497301615231e-22,4.78496924627321e-12,1.69827867987723e-05,1.5060092312892e-13
